Nuclide,Default_Type,Age,AerosolDiam,F,M,S,QAFLAG
Ac-223   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ac-224   , M,7300,      1.00,  6.8254E-09,  7.2988E-08,  8.2018E-08,BAA
Ac-225   , M,7300,      1.00,  7.0347E-07,  5.3861E-06,  6.1682E-06,AAA
Ac-226   , M,7300,      1.00,  1.0976E-07,  8.3908E-07,  9.3115E-07,BAA
Ac-227   , M,7300,      1.00,  1.3791E-04,  6.9449E-05,  5.2805E-05,AAA
Ac-228   , M,7300,      1.00,  1.0585E-08,  1.0003E-08,  1.2330E-08,AAA
Ac-230   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ac-231   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ac-232   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ac-233   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-100m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-101   , M,7300,      1.00,  7.7132E-12,  1.0867E-11,  1.1225E-11,BBB
Ag-102   , M,7300,      1.00,  1.0695E-11,  1.4528E-11,  1.4949E-11,BBB
Ag-102m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-103   , M,7300,      1.00,  1.1662E-11,  1.9679E-11,  2.0625E-11,BBB
Ag-104   , M,7300,      1.00,  2.3486E-11,  3.0136E-11,  3.0902E-11,BBB
Ag-104m  , M,7300,      1.00,  1.4890E-11,  2.3500E-11,  2.4451E-11,BBB
Ag-105   , M,7300,      1.00,  4.7182E-10,  6.6525E-10,  7.4745E-10,AAA
Ag-105m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-106   , M,7300,      1.00,  7.2827E-12,  1.1814E-11,  1.2315E-11,BBB
Ag-106m  , M,7300,      1.00,  9.1530E-10,  9.8759E-10,  9.9615E-10,BBB
Ag-108   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-108m  , M,7300,      1.00,  5.4128E-09,  7.3225E-09,  3.9115E-08,AAA
Ag-109m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-110   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-110m  , M,7300,      1.00,  4.9189E-09,  7.3512E-09,  1.2185E-08,AAA
Ag-111   , M,7300,      1.00,  3.3862E-10,  1.2566E-09,  1.4011E-09,AAA
Ag-111m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-112   , M,7300,      1.00,  6.2310E-11,  1.3537E-10,  1.4411E-10,BBB
Ag-113   , M,7300,      1.00,  5.3575E-11,  1.2358E-10,  1.3331E-10,BAA
Ag-113m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-114   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-115   , M,7300,      1.00,  1.1642E-11,  2.1816E-11,  2.3029E-11,BBB
Ag-116   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-117   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ag-99    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Al-26    , M,7300,      1.00,  9.8994E-09,  1.8838E-08,  1.1039E-07,AAA
Al-28    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Al-29    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Am-237   , M,7300,      1.00,  9.0632E-12,  1.8777E-11,  1.9876E-11,BBB
Am-238   , M,7300,      1.00,  1.6646E-10,  8.4392E-11,  3.8277E-11,AAA
Am-239   , M,7300,      1.00,  6.4247E-11,  1.7127E-10,  1.8229E-10,BBB
Am-240   , M,7300,      1.00,  2.0262E-10,  3.5805E-10,  3.5239E-10,ABB
Am-241   , M,7300,      1.00,  8.5357E-05,  4.0077E-05,  1.5013E-05,AAA
Am-242   , M,7300,      1.00,  9.9649E-09,  1.3710E-08,  1.5303E-08,AAA
Am-242m  , M,7300,      1.00,  8.1120E-05,  3.5999E-05,  1.1155E-05,AAA
Am-243   , M,7300,      1.00,  8.4752E-05,  3.9613E-05,  1.4528E-05,AAA
Am-244   , M,7300,      1.00,  3.2792E-09,  1.8364E-09,  1.0356E-09,AAA
Am-244m  , M,7300,      1.00,  1.4203E-10,  7.7174E-11,  4.9727E-11,AAB
Am-245   , M,7300,      1.00,  1.7452E-11,  4.0511E-11,  4.2511E-11,BBB
Am-246   , M,7300,      1.00,  2.8793E-11,  5.5312E-11,  5.7923E-11,BBB
Am-246m  , M,7300,      1.00,  1.1522E-11,  1.7897E-11,  1.8400E-11,BBB
Am-247   , M,7300,      1.00,  1.1016E-11,  1.9910E-11,  2.0889E-11,BBB
Ar-37    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ar-39    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ar-41    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ar-42    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ar-43    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ar-44    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
As-68    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
As-69    , M,7300,      1.00,  1.1035E-11,  1.6905E-11,  1.7560E-11,BBB
As-70    , M,7300,      1.00,  3.8381E-11,  5.6835E-11,  5.8870E-11,BBB
As-71    , M,7300,      1.00,  1.4096E-10,  3.2041E-10,  3.0039E-10,BBA
As-72    , M,7300,      1.00,  4.3611E-10,  7.7567E-10,  8.1515E-10,BBB
As-73    , M,7300,      1.00,  6.8488E-11,  7.9929E-10,  1.0675E-09,AAA
As-74    , M,7300,      1.00,  4.0253E-10,  1.8277E-09,  2.1450E-09,BAA
As-76    , M,7300,      1.00,  2.8835E-10,  6.1878E-10,  6.5732E-10,AAA
As-77    , M,7300,      1.00,  7.5764E-11,  3.0197E-10,  3.2923E-10,AAA
As-78    , M,7300,      1.00,  3.8937E-11,  7.1060E-11,  7.4605E-11,BBB
As-79    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
At-204   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
At-205   , M,7300,      1.00,  1.5231E-10,  4.5524E-10,  4.8859E-10,AAA
At-206   , M,7300,      1.00,  3.4234E-11,  1.5197E-10,  1.7063E-10,BAA
At-207   , M,7300,      1.00,  2.5196E-10,  1.3799E-09,  1.5098E-09,BAA
At-208   , M,7300,      1.00,  5.4392E-11,  2.7632E-10,  4.7794E-10,BAA
At-209   , M,7300,      1.00,  2.3683E-10,  1.7300E-09,  1.9363E-09,BAA
At-210   , M,7300,      1.00,  3.2548E-10,  5.8892E-09,  8.1600E-09,BAA
At-211   , M,7300,      1.00,  1.2525E-08,  7.4902E-08,  8.2641E-08,BAA
At-215   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
At-216   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
At-217   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
At-218   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
At-219   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
At-220   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
